mbpp_task_id,lu_subset,file_in_testdafny110,shared_with_testdafny110,lu_success,ours_success_multimodel_repair,comment
101,DFY-26,,0,1,,
127,DFY-26,,0,1,,
227,DFY-26,,0,1,,
267,DFY-26,task_id_267.dfy,1,1,1,
404,DFY-26,,0,1,,
431,DFY-26,task_id_431.dfy,1,1,1,
433,DFY-26,task_id_433.dfy,1,1,1,
435,DFY-26,,0,1,,
441,DFY-26,,0,1,,
447,DFY-26,task_id_447.dfy,1,1,1,
454,DFY-26,task_id_454.dfy,1,1,1,
474,DFY-26,task_id_474.dfy,1,1,1,
58,DFY-26,,0,1,,
599,DFY-26,task_id_599.dfy,1,1,1,
600,DFY-26,,0,1,,
605,DFY-26,task_id_605.dfy,1,1,1,
610,DFY-26,task_id_610.dfy,1,1,1,
616,DFY-26,task_id_616.dfy,1,1,1,
62,DFY-26,task_id_62.dfy,1,1,1,
625,DFY-26,,0,1,,
627,DFY-26,task_id_627.dfy,1,1,1,
741,DFY-26,task_id_741.dfy,1,1,1,
743,DFY-26,task_id_743.dfy,1,1,1,
760,DFY-26,task_id_760.dfy,1,1,1,
77,DFY-26,,0,1,,
770,DFY-26,task_id_770.dfy,1,0,1,
61,DFY-97,,0,0,,
69,DFY-97,task_id_69.dfy,1,1,1,
89,DFY-97,,0,1,,
126,DFY-97,task_id_126.dfy,1,1,1,
397,DFY-97,,0,1,,
598,DFY-97,,0,0,,
623,DFY-97,task_id_623.dfy,1,0,1,
759,DFY-97,,0,1,,
808,DFY-97,task_id_808.dfy,1,1,1,
94,DFY-97,,0,0,,
18,DFY-97,task_id_18.dfy,1,0,1,
161,DFY-97,task_id_161.dfy,1,0,1,
264,DFY-97,,0,0,,
555,DFY-97,task_id_555.dfy,1,0,1,
572,DFY-97,task_id_572.dfy,1,0,1,
603,DFY-97,,0,0,,
412,DFY-97,,0,1,,
801,DFY-97,,0,1,,
576,DFY-97,task_id_576.dfy,1,0,1,
579,DFY-97,task_id_579.dfy,1,1,1,
554,DFY-97,,0,1,,
70,DFY-97,task_id_70.dfy,1,0,1,
457,DFY-97,task_id_457.dfy,1,1,1,
2,DFY-97,task_id_2.dfy,1,1,1,
8,DFY-97,task_id_8.dfy,1,1,1,
14,DFY-97,,0,1,,
17,DFY-97,,0,1,,
59,DFY-97,,0,1,,
79,DFY-97,,0,1,,
80,DFY-97,,0,1,,
86,DFY-97,,0,1,,
95,DFY-97,task_id_95.dfy,1,1,1,
106,DFY-97,task_id_106.dfy,1,1,1,
113,DFY-97,task_id_113.dfy,1,1,1,
135,DFY-97,,0,1,,
145,DFY-97,task_id_145.dfy,1,1,1,
171,DFY-97,,0,1,,
230,DFY-97,task_id_230.dfy,1,1,1,
234,DFY-97,,0,1,,
238,DFY-97,,0,1,,
240,DFY-97,,0,1,,
242,DFY-97,,0,1,,
249,DFY-97,task_id_249.dfy,1,1,1,find the intersection of two integers arrays(but they don't preserve ordering)
251,DFY-97,task_id_251.dfy,1,1,1,
257,DFY-97,,0,1,,
261,DFY-97,task_id_261.dfy,1,1,1,
266,DFY-97,,0,1,,
268,DFY-97,,0,1,,
269,DFY-97,,0,1,,
273,DFY-97,task_id_273.dfy,1,1,1,
279,DFY-97,,0,1,,
282,DFY-97,task_id_282.dfy,1,1,1,
284,DFY-97,task_id_284.dfy,1,1,1,
290,DFY-97,task_id_290.dfy,1,1,1,
292,DFY-97,,0,1,,
307,DFY-97,,0,1,,
309,DFY-97,,0,1,,
310,DFY-97,task_id_310.dfy,1,1,1,
396,DFY-97,,0,1,,
399,DFY-97,task_id_399.dfy,1,1,1,
401,DFY-97,task_id_401.dfy,1,1,1,
406,DFY-97,,0,1,,
414,DFY-97,task_id_414.dfy,1,1,1,
424,DFY-97,task_id_424.dfy,1,1,1,
426,DFY-97,task_id_426.dfy,1,1,1,don't preserve ordering
436,DFY-97,task_id_436.dfy,1,1,1,
445,DFY-97,task_id_445.dfy,1,1,1,
452,DFY-97,,0,1,,
455,DFY-97,,0,1,,
458,DFY-97,,0,1,,
460,DFY-97,,0,1,,
470,DFY-97,task_id_470.dfy,1,1,1,
557,DFY-97,task_id_557.dfy,1,1,1,
565,DFY-97,,0,1,,
567,DFY-97,task_id_567.dfy,1,1,1,
577,DFY-97,,0,1,,
578,DFY-97,task_id_578.dfy,1,1,1,
581,DFY-97,,0,1,,
586,DFY-97,,0,1,,
587,DFY-97,task_id_587.dfy,1,1,1,
618,DFY-97,,0,1,,
626,DFY-97,,0,1,,
629,DFY-97,task_id_629.dfy,1,1,1,
637,DFY-97,,0,1,,
641,DFY-97,,0,1,,
728,DFY-97,task_id_728.dfy,1,1,1,
733,DFY-97,task_id_733.dfy,1,1,1,
750,DFY-97,,0,1,,
751,DFY-97,task_id_751.dfy,1,1,1,
762,DFY-97,,0,1,,
769,DFY-97,task_id_769.dfy,1,1,1,don't preserve ordering
790,DFY-97,task_id_790.dfy,1,1,1,
792,DFY-97,,0,1,,
793,DFY-97,task_id_793.dfy,1,1,1,
799,DFY-97,,0,1,,
804,DFY-97,task_id_804.dfy,1,1,1,
809,DFY-97,task_id_809.dfy,1,1,1,
